[06 Feb 13:32:14] Created new character, ReEdiT(268489123), karolusw89 
[06 Feb 13:32:17] Logged in, ReEdiT(268489123) 
[06 Feb 13:51:21] Logged out, ReEdiT(268489123) 
[06 Feb 13:52:49] Logged in, ReEdiT(268489123) 
[06 Feb 13:59:49] Logged in, ReEdiT(268489123) 
[06 Feb 14:16:10] Logged out, ReEdiT(268489123) 
[06 Feb 14:16:13] Logged in, ReEdiT(268489123) 
[06 Feb 14:23:07] Logged in, ReEdiT(268489123) 
[06 Feb 14:24:19] Created new character, Nerfyo(268486660), nerfyo 
[06 Feb 14:24:28] Logged in, Nerfyo(268486660) 
[06 Feb 14:25:30] Logged out, Nerfyo(268486660) 
[06 Feb 14:25:51] Logged in, Nerfyo(268486660) 
[06 Feb 14:36:06] Logged out, ReEdiT(268489123) 
[06 Feb 14:36:09] Logged in, ReEdiT(268489123) 
[06 Feb 14:47:52] Logged out, ReEdiT(268489123) 
[06 Feb 14:47:57] Logged in, ReEdiT(268489123) 
[06 Feb 14:52:24] Logged out, ReEdiT(268489123) 
[06 Feb 14:52:32] Logged in, ReEdiT(268489123) 
[06 Feb 14:56:00] Logged out, ReEdiT(268489123) 
[06 Feb 14:56:07] Logged in, ReEdiT(268489123) 
[06 Feb 15:09:35] Created new character, GravieR(268487827), gravier666 
[06 Feb 15:09:38] Logged in, GravieR(268487827) 
[06 Feb 15:23:30] Logged in, GravieR(268487827) 
[06 Feb 15:39:44] Disconnected, Nerfyo(268486660) 
[06 Feb 15:43:33] Created new character, Nina(268488639), piecpo5 
[06 Feb 15:43:35] Logged in, Nina(268488639) 
[06 Feb 16:10:35] Created new character, lechu(268490492), lechu 
[06 Feb 16:10:38] Logged in, lechu(268490492) 
[06 Feb 16:54:22] Logged in, ReEdiT(268489123) 
[06 Feb 16:54:27] Logged in, GravieR(268487827) 
[06 Feb 16:55:06] Logged in, lechu(268490492) 
[06 Feb 16:55:30] Logged out, ReEdiT(268489123) 
[06 Feb 16:55:45] Created new character, test(268487091), karolusw89 
[06 Feb 16:55:48] Logged in, test(268487091) 
[06 Feb 16:56:14] Logged out, test(268487091) 
[06 Feb 16:56:25] Logged in, ReEdiT(268489123) 
[06 Feb 17:07:47] Logged in, test(268487091) 
[06 Feb 17:08:04] Logged out, test(268487091) 
[06 Feb 17:08:17] Logged in, ReEdiT(268489123) 
[06 Feb 17:09:15] Logged in, GravieR(268487827) 
[06 Feb 17:48:47] Created new character, Neema(268488058), piecpo55 
[06 Feb 17:49:48] Logged in, Neema(268488058) 
[06 Feb 17:50:55] Logged out, GravieR(268487827) 
[06 Feb 17:50:59] Logged in, GravieR(268487827) 
[06 Feb 17:56:39] Logged out, Neema(268488058) 
[06 Feb 17:56:43] Logged in, Neema(268488058) 
[06 Feb 18:01:07] Logged out, GravieR(268487827) 
