[06 Feb 16:54:26] AUDIT:Player ReEdiT has invalid skill Refreshing Sonata (39103/1), class:Paladin, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:54:32] AUDIT:Player GravieR has invalid skill Prevailing Sonata (Adventurer) (15651/1), class:Destroyer, L2PcInstance:GravieR[268487827], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Aggression Aura (18/37), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Aggression (28/49), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Remedy (44/3), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Divine Heal (45/9), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Holy Strike (49/26), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Sacrifice (69/25), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Drain Energy (70/13), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Iron Will (72/3), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Majesty (82/3), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Shield Stun (92/52), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:27] AUDIT:Player ReEdiT has invalid skill Sanctuary (97/11), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Ultimate Defense (110/2), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Deflect Arrow (112/4), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill M. Def. (147/51), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Shield Mastery (153/4), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Focus Mind (191/6), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Holy Blade (196/1), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Holy Armor (197/2), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Sword/Blunt Weapon Mastery (217/45), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Heavy Armor Mastery (232/52), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Divine Blessing (262/37), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Final Fortress (291/11), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Aegis Stance (318/1), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Shield Fortress (322/6), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Tribunal (400/10), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Shackle (403/10), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Mass Shackling (404/5), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Banish Undead (405/10), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:28] AUDIT:Player ReEdiT has invalid skill Angelic Archon (406/3), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:29] AUDIT:Player ReEdiT has invalid skill Vanguard (810/1), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:29] AUDIT:Player ReEdiT has invalid skill Shield Deflect Magic (916/4), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:29] AUDIT:Player ReEdiT has invalid skill Combat Aura (982/3), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:29] AUDIT:Player ReEdiT has invalid skill Patience (983/1), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:29] AUDIT:Player ReEdiT has invalid skill Shield Strike (984/15), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 16:56:30] AUDIT:Player ReEdiT has invalid skill Divine Inspiration (1405/2), class:Human Fighter, L2PcInstance:ReEdiT[268489123], BROADCAST
[06 Feb 19:38:10] AUDIT:Player lechu has invalid skill Prevailing Sonata (24003/1), class:Silver Ranger, L2PcInstance:lechu[268490492], BROADCAST
[06 Feb 19:38:10] AUDIT:Player lechu has invalid skill Daring Sonata Buff (24004/1), class:Silver Ranger, L2PcInstance:lechu[268490492], BROADCAST
[06 Feb 19:38:10] AUDIT:Player lechu has invalid skill Refreshing Sonata (24005/1), class:Silver Ranger, L2PcInstance:lechu[268490492], BROADCAST
[07 Feb 13:25:39] AUDIT:Player Nerfyo has invalid skill Force Storm (35/28), class:Duelist, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 13:25:39] AUDIT:Player Nerfyo has invalid skill Cancellation (1056/12), class:Duelist, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 13:25:39] AUDIT:Player Nerfyo has invalid skill Death Spike (1148/13), class:Duelist, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 13:25:39] AUDIT:Player Nerfyo has invalid skill Hydro Blast (1235/28), class:Duelist, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 13:25:40] AUDIT:Player Nerfyo has invalid skill Ice Vortex (1340/1), class:Duelist, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 13:25:40] AUDIT:Player Nerfyo has invalid skill Heroic Valor (1374/1), class:Duelist, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 13:25:40] AUDIT:Player Nerfyo has invalid skill Super Haste (7029/4), class:Duelist, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 16:44:21] AUDIT:Player Nerfyo has invalid skill Shield Stun (92/52), class:Adventurer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 16:44:21] AUDIT:Player Nerfyo has invalid skill Frenzy (176/3), class:Adventurer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 16:44:21] AUDIT:Player Nerfyo has invalid skill Fury Fists (222/1), class:Adventurer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 16:44:21] AUDIT:Player Nerfyo has invalid skill Dance of Fury (275/1), class:Adventurer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 16:44:21] AUDIT:Player Nerfyo has invalid skill Rabbit Spirit Totem (298/1), class:Adventurer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 16:44:21] AUDIT:Player Nerfyo has invalid skill Balance Life (1335/1), class:Adventurer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 16:44:21] AUDIT:Player Nerfyo has invalid skill Chant of Victory (1363/1), class:Adventurer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 16:44:21] AUDIT:Player Nerfyo has invalid skill Super Haste (7029/4), class:Adventurer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Guilted Body (462/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Weapon Mastery (463/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Armor Mastery (464/5), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Light Armor Mastery (465/50), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Magic Immunity (466/55), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Soul Mastery (467/23), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Fallen Attack (468/9), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Rapid Attack (469/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Detect Trap (470/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Defuse Trap (471/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:43] AUDIT:Player Nerfyo has invalid skill Ancient Sword Mastery (472/45), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Crossbow Mastery (473/8), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Rapier Mastery (474/8), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Strike Back (475/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Dark Strike (476/15), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Dark Smash (477/37), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Double Thrust (478/15), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Hard March (479/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Dark Blade (480/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Dark Armor (481/2), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Furious Soul (482/2), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Sword Shield (483/4), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Elementary Rush (484/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Disarm (485/7), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Increase Range (486/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Penetrating Shot (487/15), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Fast Shot (490/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Spread Wing (492/25), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Storm Assault (493/28), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Shoulder Charge (494/37), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Blade Rush (495/10), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Slashing Blade (496/31), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Crushing Pain (497/16), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Contagion (498/12), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Courage (499/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill True Berserker (500/2), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Violent Temper (501/12), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Life to Soul (502/5), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Scorn (503/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:44] AUDIT:Player Nerfyo has invalid skill Triple Thrust (504/37), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Shining Edge (505/28), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Checkmate (506/4), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Fire Trap (514/2), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Ultimate Escape (622/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Soul Gathering (625/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Critical Sense (626/4), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Soul Shock (627/3), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Warp (628/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Fast Recovery (832/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Body Reconstruction (833/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Blood Pact (834/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Painkiller (837/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Final Flying Form (840/1), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Fallen Arrow (1431/6), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
[07 Feb 17:43:45] AUDIT:Player Nerfyo has invalid skill Increase Power (1432/2), class:Sorcerer, L2PcInstance:Nerfyo[268486660], BROADCAST
